epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.012750440277159214,0.08766072988510132,0.04491585120558739,0.1886846423149109
1,0.0010000000474974513,0.007697043940424919,0.06905141472816467,0.032500009983778,0.16152843832969666
2,0.0010000000474974513,0.007001330144703388,0.06567468494176865,0.026677539572119713,0.1463584005832672
3,0.0010000000474974513,0.006811646278947592,0.06488844752311707,0.030992424115538597,0.15797945857048035
4,0.0010000000474974513,0.006654736585915089,0.06421217322349548,0.03209874778985977,0.16075079143047333
5,0.0010000000474974513,0.006567545235157013,0.0638231560587883,0.029927503317594528,0.15586362779140472
6,0.0010000000474974513,0.006479072384536266,0.06342248618602753,0.030019771307706833,0.15674397349357605
7,0.0010000000474974513,0.006411267444491386,0.06311448663473129,0.029972638934850693,0.15689285099506378
8,0.0010000000474974513,0.0063874730840325356,0.06306151300668716,0.02471335045993328,0.14261342585086823
9,0.0010000000474974513,0.006338709034025669,0.06290517747402191,0.02565041370689869,0.14565075933933258
10,0.0010000000474974513,0.006357890088111162,0.06297332048416138,0.025535812601447105,0.14603394269943237
11,0.0010000000474974513,0.006385907530784607,0.06316887587308884,0.02296866662800312,0.13827162981033325
