epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.015830425545573235,0.09658114612102509,0.06568015366792679,0.22795338928699493
1,0.0010000000474974513,0.00913696177303791,0.07448377460241318,0.02399611286818981,0.13754481077194214
2,0.0010000000474974513,0.007423927541822195,0.06768877059221268,0.019654177129268646,0.12542766332626343
3,0.0010000000474974513,0.00691209314391017,0.06529543548822403,0.02157750353217125,0.13173285126686096
4,0.0010000000474974513,0.006782658398151398,0.06473234295845032,0.022880742326378822,0.1359047293663025
5,0.0010000000474974513,0.006720035336911678,0.06439404934644699,0.024065397679805756,0.140132337808609
6,0.0010000000474974513,0.006679492071270943,0.06412473320960999,0.02468417026102543,0.14207488298416138
7,0.0010000000474974513,0.006656988989561796,0.06405510008335114,0.022656995803117752,0.13557589054107666
8,0.0010000000474974513,0.006635419558733702,0.06401431560516357,0.02419155277311802,0.14114247262477875
9,0.0010000000474974513,0.006566738244146109,0.06360846012830734,0.023700622841715813,0.13963787257671356
