epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.010158662684261799,0.07915198057889938,0.027992522343993187,0.1496170461177826
1,0.0010000000474974513,0.006978344172239304,0.06571535021066666,0.02754085138440132,0.1499396711587906
2,0.0010000000474974513,0.006735954433679581,0.06457885354757309,0.03239104524254799,0.1612275093793869
3,0.0010000000474974513,0.006597741506993771,0.06371932476758957,0.03812040016055107,0.1745322346687317
4,0.0010000000474974513,0.00658445293083787,0.06369258463382721,0.039887405931949615,0.17782138288021088
5,0.0010000000474974513,0.006539315916597843,0.06351737678050995,0.0391235314309597,0.1763337254524231
6,0.0010000000474974513,0.006502931006252766,0.06334773451089859,0.05081240460276604,0.20138303935527802
7,0.0010000000474974513,0.006469530053436756,0.0632430762052536,0.043013401329517365,0.18566565215587616
8,0.0010000000474974513,0.006446564104408026,0.06332328915596008,0.03712454065680504,0.17314307391643524
9,0.0005000000237487257,0.006412703078240156,0.0632985532283783,0.01566283404827118,0.11032682657241821
