epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.013541323132812977,0.08955098688602448,0.0394255705177784,0.17754246294498444
1,0.0010000000474974513,0.008296534419059753,0.07088553160429001,0.032880377024412155,0.16107119619846344
2,0.0010000000474974513,0.006920286454260349,0.06542115658521652,0.031937867403030396,0.15943357348442078
3,0.0010000000474974513,0.006648619659245014,0.06396491080522537,0.02737819030880928,0.14982759952545166
4,0.0010000000474974513,0.006576527375727892,0.06369548290967941,0.03424564376473427,0.16688211262226105
5,0.0010000000474974513,0.006590741220861673,0.06387107074260712,0.028961816802620888,0.15358026325702667
6,0.0010000000474974513,0.006547575816512108,0.06358405947685242,0.02979355864226818,0.15713050961494446
7,0.0010000000474974513,0.00650784932076931,0.06337891519069672,0.028684116899967194,0.15432584285736084
8,0.0010000000474974513,0.006463310215622187,0.06324395537376404,0.02629373036324978,0.14809845387935638
9,0.0010000000474974513,0.006433709990233183,0.06303928792476654,0.027260487899184227,0.15076150000095367
